id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,timestamp
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.12,123565718491,4,212009980553,5600440753.0,2.15,2.03,0.07388,3.60824,4184035094.0,3.50475,58274974538.0,99986277500.0,100000000000.0,3.4,-37.69403,2018-01-07T00:00:00.000Z,0.00268621,78726.30148,2014-05-22T00:00:00.000Z,,2025-04-04T20:26:06.335Z,2025-04-04 13:27:20.219073
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,596.53,86988345076,5,86988345076,764136168.0,600.78,584.69,7.96,1.35318,1214774531.0,1.41626,145887575.79,145887575.79,200000000.0,788.84,-24.55313,2024-12-04T10:35:25.220Z,0.0398177,1494606.67897,2017-10-19T00:00:00.000Z,,2025-04-04T20:26:04.675Z,2025-04-04 13:27:20.219073
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,122.36,62948340374,6,73133055578,6017958370.0,123.31,113.81,7.14,6.19553,3648570108.0,6.15276,514449911.529926,597685240.7612484,,293.31,-58.35686,2025-01-19T11:15:27.957Z,0.500801,24289.782,2020-05-11T19:35:23.449Z,,2025-04-04T20:25:58.577Z,2025-04-04 13:27:20.219073
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999875,60683169690,7,60725102065,9485276604.0,1.0,0.999792,-1.3096995633233e-05,-0.00131,-124677365.6288681,-0.20503,60691568514.55579,60733506693.28579,,1.17,-14.73919,2019-05-08T00:40:28.300Z,0.877647,13.92498,2023-03-11T08:02:13.981Z,,2025-04-04T20:25:59.455Z,2025-04-04 13:27:20.219073
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.169118,25135450713,8,25137722499,1734466318.0,0.171719,0.158043,0.01054847,6.65225,1547217289.0,6.55928,148702566383.7052,148716006383.7052,,0.731578,-76.94051,2021-05-08T05:08:23.458Z,8.69e-05,194020.68108,2015-05-06T00:00:00.000Z,,2025-04-04T20:26:07.497Z,2025-04-04 13:27:20.219073
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.658434,23692593962,9,29619068315,944742799.0,0.666639,0.629901,0.01906573,2.98196,650280385.0,2.82211,35995957636.81128,45000000000.0,45000000000.0,3.09,-78.70312,2021-09-02T06:00:10.474Z,0.01925275,3314.65886,2020-03-13T02:22:55.044Z,,2025-04-04T20:26:05.045Z,2025-04-04 13:27:20.219073
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.23943,22740718402,10,22740724096,604905570.0,0.24221,0.23532,0.00411035,1.74671,342650495.0,1.52982,94979869949.31204,94979893729.20947,,0.431288,-44.59669,2024-12-04T00:10:40.323Z,0.00180434,13142.9469,2017-11-12T00:00:00.000Z,"{'times': 125.01583188262715, 'currency': 'usd', 'percentage': 12501.583188262715}",2025-04-04T20:25:57.888Z,2025-04-04 13:27:20.219073
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,83736.0,1660337269133,1,1660337269133,47993002740.0,84631.0,81714.0,1966.76,2.40525,32896365098.0,2.02136,19846656.0,19846656.0,21000000.0,108786.0,-23.23539,2025-01-20T09:11:54.494Z,67.81,123052.95285,2013-07-06T00:00:00.000Z,,2025-04-04T20:27:38.348Z,2025-04-04 13:28:20.286445
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1808.4,218124206149,2,218124206149,19706043524.0,1832.02,1768.68,27.54,1.54664,2528894607.0,1.17298,120666956.0999141,120666956.0999141,,4878.26,-63.01202,2021-11-10T14:24:19.604Z,0.432979,416633.93473,2015-10-20T00:00:00.000Z,"{'times': 27.88561454823241, 'currency': 'btc', 'percentage': 2788.561454823241}",2025-04-04T20:27:44.196Z,2025-04-04 13:28:20.286445
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999546,144022962090,3,144022962090,70266360639.0,0.999944,0.999417,5.652e-05,0.00565,-143656523.78012085,-0.09965,144086679997.8651,144086679997.8651,,1.32,-24.45548,2018-07-24T00:00:00.000Z,0.572521,74.58329,2015-03-02T00:00:00.000Z,,2025-04-04T20:27:41.392Z,2025-04-04 13:28:20.286445
